Code commune,Libellé de la commune,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,Ordre_candidat,D_elec_2020
35256,Saint-Briac-sur-Mer,LDIV,M,DENBY WILKES,Vincent,SAINT BRIAC POUR TOUS,15,0.0,2.0,971.0,43.27,57.69,1,0.0
35288,Saint-Malo,LDVD,M,RENOULT,Claude,SAINT-MALO : LE RENOUVEAU,31,0.0,22.0,9299.0,24.8,41.3,3,0.0
35353,Vezin-le-Coquet,LDVG,M,ROUDAUT,Jean,Vezin dynamique et solidaire,19,0.0,2.0,849.0,25.79,39.43,1,1.0
36044,Châteauroux,LUD,M,AVEROUS,Gil,UNE NOUVELLE AMBITION POUR CHATEAUROUX,33,0.0,20.0,8636.0,27.84,48.98,3,0.0
36171,Reuilly,LDVD,F,BELLUROT,Nadine,UNIS POUR L'AVENIR DE REUILLY,15,0.0,3.0,610.0,39.97,53.32,3,0.0
36230,Vatan,LDIV,F,PEPION,Clarisse,UNE ALTERNATIVE POUR VATAN,14,0.0,4.0,508.0,33.8,47.3,2,0.0
36241,Villedieu-sur-Indre,LDVG,M,GONTIER,Bernard,"VILLEDIEU AVEC VOUS, POUR VOUS",18,0.0,2.0,700.0,36.12,51.02,1,1.0
37003,Amboise,LDVG,M,GUYON,Christian,PLURALISME ET SOLIDARITE,26,0.0,13.0,2823.0,33.44,53.76,1,1.0
37018,Ballan-Miré,LDVD,M,CHAS,Alexandre,BALLAN-MIRÉ C'EST VOUS !,21,0.0,2.0,1823.0,28.7,42.67,3,0.0
37060,Chargé,LDIV,M,DUPRE,Pascal,BIEN VIVRE À CHARGÉ,13,0.0,2.0,433.0,43.39,63.3,2,0.0
37063,Château-Renault,LDVG,M,COSNIER,Michel,FIERS D'ETRE RENAUDINS,22,0.0,6.0,993.0,27.03,46.66,1,1.0
37072,Chinon,LDVD,M,DUPONT,Jean-Luc,Un souffle nouveau pour Chinon,24,0.0,11.0,2314.0,37.3,62.47,3,0.0
37104,Esvres,LUD,M,GASSOT,Jean-Christophe,ESVRES 2014 - RESPONSABLE ET SOLIDAIRE,21,0.0,3.0,1316.0,34.26,51.79,3,0.0
37109,Fondettes,LUD,M,DE OLIVEIRA,Cedric,REUSSIR FONDETTES ENSEMBLE,26,0.0,3.0,3032.0,35.22,53.89,3,0.0
37122,Joué-lès-Tours,LUD,M,AUGIS,Frédéric,UNE NOUVELLE AMBITION POUR JOUE,29,0.0,4.0,6488.0,26.25,44.84,2,0.0
37143,Manthelan,LDIV,M,PIPEREAU,Bernard,Agir pour Manthelan avec vous,12,0.0,3.0,389.0,41.38,51.66,2,0.0
37151,La Membrolle-sur-Choisille,LDIV,M,MARAIS,Sébastien,J'AI CHOISILLE LA MEMBROLLE,18,0.0,2.0,823.0,36.24,51.41,1,0.0
37152,Mettray,LDVD,M,CLEMOT,Philippe,METTRAY L'AVENIR ENSEMBLE,15,0.0,1.0,565.0,32.77,47.72,3,0.0
37156,Montlouis-sur-Loire,LSOC,M,MORETTE,Vincent,AGISSONS ENSEMBLE POUR MONTLOUIS,24,0.0,7.0,2086.0,25.54,43.91,2,1.0
37163,Nazelles-Négron,LDIV,M,CHATELLIER,Richard,AGIR ENSEMBLE POUR NAZELLES NEGRON,21,0.0,4.0,956.0,31.25,50.61,3,0.0
37167,Neuillé-Pont-Pierre,LDIV,M,JOLLIVET,Michel,CAP 2020,13,0.0,3.0,382.0,26.22,37.05,1,0.0
37189,Preuilly-sur-Claise,LUDI,M,BERTUCELLI,Gilles,Unissons nous pour Preuilly,11,0.0,2.0,295.0,36.51,46.09,4,0.0
37195,La Riche,LUG,M,SCHWARTZ,Wilfried,POUR LA RICHE CHOISISSONS NOTRE AVENIR,26,0.0,2.0,1847.0,30.63,54.56,1,1.0
37206,Saint-Antoine-du-Rocher,LDIV,M,MEULOT,André,SAINT ANTOINE ENSEMBLE,12,0.0,2.0,390.0,32.99,46.59,2,0.0
37261,Tours,LUD,M,BABARY,Serge,TOU(R)S ENSEMBLE,42,0.0,9.0,20770.0,26.47,49.76,2,0.0
37281,Vouvray,LDIV,F,PINEAU,Brigitte,VRAIMENT VOUVRAY,18,0.0,5.0,977.0,39.6,57.98,1,0.0
38039,Bernin,LDIV,F,ROCCA,Cécile,"BERNIN, AU RYTHME DE NOS VIES",16,0.0,2.0,652.0,24.79,37.34,2,0.0
38045,Biviers,LDVD,M,GAUTHERON,René,UNE EQUIPE POUR BIVIERS,15,0.0,2.0,744.0,35.41,52.25,3,0.0
38052,Le Bourg-d'Oisans,LDIV,M,SALVETTI,André,VIVRE ET AGIR ENSEMBLE,16,0.0,3.0,635.0,25.31,37.46,3,0.0
38053,Bourgoin-Jallieu,LUMP,M,CHRIQUI,Vincent,FAISONS GAGNER NOTRE VILLE,27,0.0,12.0,4326.0,27.77,47.84,3,0.0
38084,Charnècles,LUG,F,CHENE,Marie-Ange,CHARNECLES @VENIR,11,0.0,1.0,365.0,30.02,42.74,1,1.0
38111,Claix,LDVD,M,OCTRU,Michel,AUX COTES DES CLAIXOIS,22,0.0,2.0,2243.0,34.65,52.35,2,0.0
38151,Echirolles,LUG,M,SULLI,Renzo,"VIVRE ECHIROLLES, RASSEMBLEMENT DE LA GAUCHE ECOLOGISTE, SOLIDAIRE ET CITOYEN",29,0.0,6.0,5182.0,25.0,45.19,1,1.0
38158,Eybens,LDVG,F,MEGEVAND,Francie,EYBENS NOUVEAU SOUFFLE,22,0.0,2.0,1950.0,29.43,46.76,2,1.0
38165,Fitilieu,LFG,M,GASTADELLO,Benjamin,L'AVENIR ... S'UNIR POUR LE CHANGEMENT,14,0.0,3.0,393.0,30.47,42.39,1,0.0
38169,Fontaine,LFG,M,TROVERO,Jean-Paul,FONTAINE AU COEUR NOUS RASSEMBLE,24,0.0,3.0,2700.0,20.12,33.42,1,0.0
38182,Le Grand-Lemps,LDVG,M,RAMBAUD,Didier,LE GRAND LEMPS AU COEUR - HORIZON 2020,18,0.0,5.0,691.0,35.86,51.49,1,1.0
38185,Grenoble,LVEC,M,PIOLLE,Eric,GRENOBLE UNE VILLE POUR TOUS,42,0.0,22.0,19677.0,23.2,40.03,2,1.0
38191,Huez,LUMP,M,NOYREY,Jean-Yves,HUEZ VERS LES SOMMETS,12,0.0,2.0,634.0,48.77,56.61,1,0.0
38193,L'Isle-d'Abeau,LDVG,M,GRISOLLET,Joël,ENSEMBLE MIEUX VIVRE A L'ISLE D'ABEAU,22,0.0,7.0,1395.0,15.11,31.3,2,1.0
38197,Janneyrias,LDVD,M,GIMEL,Daniel,"AVEC VOUS, JANNEYRIAS",15,0.0,2.0,409.0,37.49,53.82,2,0.0
38229,Meylan,LUMP,F,TARDY,Marie-Christine,LE PARTI DE MEYLAN,25,0.0,2.0,4367.0,30.54,46.56,2,0.0
38298,Le Péage-de-Roussillon,LDVD,M,SPITTERS,Stéphane,UN NOUVEAU VISAGE POUR LE PEAGE- DE- ROUSSILLON,20,0.0,4.0,729.0,18.41,34.66,3,0.0
38310,Poliénas,LDVD,M,FOURNIER,Bernard,AGISSONS ENSEMBLE,12,0.0,2.0,319.0,38.2,51.53,3,0.0
38315,Le Pont-de-Beauvoisin,LDVD,M,SERRANO,Michel,CHOISIR AUJOURD'HUI POUR CONSTRUIRE DEMAIN,17,0.0,7.0,626.0,30.26,46.03,3,0.0
38337,Rives,LDVG,M,DEZEMPTE,Alain,RIVES GAUCHE RASSEMBLEMENT DES FORCES DE PROGRES,23,0.0,3.0,1286.0,32.48,55.07,1,1.0
38377,Saint-Clair-de-la-Tour,LDVD,M,DELDICQUE,Jean-Francois,BIEN VIVRE A SAINT CLAIR,16,0.0,3.0,486.0,22.26,35.76,3,0.0
38397,Saint-Ismier,LDIV,M,BAILE,Henri,"SAINT ISMIER AU COEUR DU GRESIVAUDAN, DEFI 2014",21,0.0,3.0,1513.0,26.41,39.97,1,0.0
38412,Saint-Laurent-du-Pont,LDVG,M,MONIN,Jean-Louis,POUR UNE GESTION AMBITIEUSE AVEC JEAN-LOUIS MONIN,21,0.0,4.0,1043.0,33.14,48.49,1,1.0
